UserId,recency,frequency,monetary_value,r_quartile,f_quartile,m_quartile,RFMScore
259266,-64,2,641217.6,4,4,1,441
267687,-387,199,33255.060000000005,1,1,1,111
267708,-3674,8872,271595.52,1,1,1,111
267729,-386,386,32986.229999999996,1,1,1,111
269220,-386,112,7494.72,1,2,2,122
269241,-175,9,552.3,4,4,4,444
269262,-319,89,7556.280000000001,3,2,2,322
269283,-315,10,14572.8,3,4,1,341
269304,-330,49,3226.14,3,3,3,333
269346,-387,174,11762.939999999999,1,2,2,122
269367,-384,49,3506.76,1,3,3,133
269388,-387,106,8005.47,1,2,2,122
269409,-53,22,2435.4,4,4,3,443
269430,-352,75,55870.56,2,3,1,231
269451,-127,17,1642.8,4,4,4,444
269472,-357,51,3013.5600000000004,2,3,3,233
269493,-244,45,3239.3399999999997,4,3,3,433
269514,-107,34,2449.2,4,3,3,433
269556,-330,340,21060.809999999998,3,1,1,311
269577,-216,24,1111.3200000000002,4,4,4,444
269598,-356,242,5585.76,2,1,2,212
269619,-3674,613,45387.06,1,1,1,111
269640,-246,221,21990.12,4,1,1,411
269661,-385,812,32273.82,1,1,1,111
269682,-319,67,9235.679999999998,3,3,2,332
269703,-324,198,13393.86,3,1,1,311
269724,-360,101,2590.98,2,2,3,223
269745,-122,51,2896.7999999999997,4,3,3,433
269787,-367,175,7082.52,2,2,2,222
269829,-358,101,8659.500000000002,2,2,2,222
269871,-293,100,1122.2400000000002,3,2,4,324
269892,-95,34,2586.48,4,3,3,433
269913,-255,150,15648.539999999999,3,2,1,321
269934,-311,210,10617.599999999999,3,1,2,312
269955,-17,6,316.8,4,4,4,444
269976,-382,614,17717.94,1,1,1,111
269997,-179,89,8881.98,4,2,2,422
270123,-337,10,4321.68,3,4,3,343
270144,-251,5,1152.36,3,4,4,344
270207,-363,1039,32510.879999999994,2,1,1,211
270228,-204,207,12973.079999999998,4,1,1,411
270291,-305,22,3155.0400000000013,3,4,3,343
270312,-63,131,4867.62,4,2,3,423
270333,-107,8,3097.4399999999996,4,4,3,443
270375,-246,3,2697.8399999999997,4,4,3,443
270417,-386,295,12178.8,1,1,2,112
270438,-153,94,7094.999999999999,4,2,2,422
270459,-345,20,4753.68,2,4,3,243
270501,-114,13,2397.6000000000004,4,4,4,444
270522,-380,25,11832.6,1,4,2,142
270543,-365,83,5759.46,2,2,2,222
270564,-301,11,2314.38,3,4,4,344
270585,-326,134,9042.719999999998,3,2,2,322
270606,-322,159,11101.74,3,2,2,322
270648,-175,10,2933.28,4,4,3,443
270690,-365,154,3067.2000000000003,2,2,3,223
270711,-204,6,2745.0,4,4,3,443
270753,-359,66,1544.28,2,3,4,234
270795,-347,43,3031.2000000000003,2,3,3,233
270837,-185,7,1557.3600000000001,4,4,4,444
270921,-381,226,144576.72,1,1,1,111
270942,-125,19,1128.8400000000001,4,4,4,444
270984,-371,143,4209.42,2,2,3,223
271026,-378,122,23577.84,1,2,1,121
271068,-213,4,6264.0,4,4,2,442
271089,-350,175,17338.739999999998,2,2,1,221
271110,-366,148,25310.879999999997,2,2,1,221
271152,-387,48,13787.4,1,3,1,131
271173,-385,99,19751.760000000002,1,2,1,121
271215,-241,42,2871.96,4,3,3,433
271236,-251,209,24108.72,3,1,1,311
271257,-261,3,3693.6000000000004,3,4,3,343
271299,-381,98,10934.16,1,2,2,122
271320,-372,52,1210.8899999999999,1,3,4,134
271341,-380,1399,133787.03999999998,1,1,1,111
271362,-228,54,3176.4,4,3,3,433
271383,-325,57,1432.68,3,3,4,334
271404,-301,57,7453.860000000001,3,3,2,332
271425,-385,87,5472.1799999999985,1,2,2,122
271488,-354,161,16518.12,2,2,1,221
271509,-78,16,977.4,4,4,4,444
271530,-311,50,3451.8,3,3,3,333
271551,-368,154,329095.07999999996,2,2,1,221
271593,-365,208,4863.42,2,1,3,213
271635,-387,250,17388.06,1,1,1,111
271656,-372,120,8662.800000000001,1,2,2,122
271677,-374,231,12044.82,1,1,2,112
271698,-364,17,878.4,2,4,4,244
271719,-325,90,91570.07999999999,3,2,1,321
271740,-335,193,7384.41,3,2,2,322
271782,-258,146,5475.299999999999,3,2,2,322
271824,-354,57,4766.219999999999,2,3,3,233
271845,-101,45,3767.64,4,3,3,433
271887,-246,188,12530.76,4,2,2,422
271908,-373,226,16716.48,1,1,1,111
271929,-359,415,33411.119999999995,2,1,1,211
271950,-387,44,14982.72,1,3,1,131
271971,-381,122,8680.32,1,2,2,122
271992,-384,154,11199.18,1,2,2,122
272013,-380,34,2734.4400000000005,1,3,3,133
272055,-388,344,37150.08,1,1,1,111
272076,-83,38,896.0999999999999,4,3,4,434
272097,-380,460,32453.52,1,1,1,111
272202,-382,30,2038.44,1,4,4,144
272223,-381,184,14911.199999999999,1,2,1,121
272265,-300,212,6276.6,3,1,2,312
272286,-380,19,1258.26,1,4,4,144
272307,-31,37,13732.800000000001,4,3,1,431
272328,-277,10,1127.8799999999999,3,4,4,344
272370,-382,290,3622.77,1,1,3,113
272391,-3674,589,90324.18,1,1,1,111
272454,-192,14,1102.3200000000002,4,4,4,444
272496,-178,41,5890.859999999999,4,3,2,432
272517,-233,17,321.84000000000003,4,4,4,444
272580,-232,39,60406.56,4,3,1,431
272601,-360,40,3088.4399999999996,2,3,3,233
272622,-147,55,3181.44,4,3,3,433
272664,-371,8,808.3199999999999,2,4,4,244
272685,-389,152,10320.720000000001,1,2,2,122
272727,-316,53,4337.94,3,3,3,333
272748,-97,178,4341.72,4,2,3,423
272769,-386,122,54992.52,1,2,1,121
272790,-358,25,3229.2000000000003,2,4,3,243
272811,-366,59,3949.0199999999995,2,3,3,233
272853,-366,53,3373.5600000000004,2,3,3,233
272874,-385,119,7891.2,1,2,2,122
272895,-304,5,1595.1599999999999,3,4,4,344
272937,-367,116,10104.900000000001,2,2,2,222
272979,-193,55,3734.52,4,3,3,433
273000,-283,60,4301.400000000001,3,3,3,333
273021,-385,658,79050.24,1,1,1,111
273042,-71,14,1003.6800000000001,4,4,4,444
273063,-284,12,1237.56,3,4,4,344
273084,-378,779,45246.59999999999,1,1,1,111
273105,-216,50,4115.28,4,3,3,433
273126,-333,8,678.24,3,4,4,344
273168,-66,28,1906.6200000000001,4,4,4,444
273231,-17,6,419.16,4,4,4,444
